timestamp,level,service,environment,message,response_time_ms,status_code,user_id,request_id,memory_usage_mb,cpu_usage_percent,thread_count
2025-09-04T22:34:07.806670Z,WARN,user-service,production,Processing request 2587,13.2,200,user_215,req_941707,282.4,80.2,14
2025-07-05T14:40:40.225998Z,ERROR,auth-service,development,Processing request 3302,1802.2,500,user_160,req_662479,1710.8,86.3,46
2025-07-14T01:41:20.416804Z,WARN,user-service,development,Processing request 6552,1620.8,404,user_532,req_149325,424.8,17.1,9
2025-08-02T02:52:15.713961Z,DEBUG,notification-service,production,Processing request 7559,561.3,201,user_37,req_570141,1014.5,55.2,50
2025-08-17T09:39:14.103469Z,ERROR,user-service,staging,Processing request 4613,1895.3,403,user_676,req_128213,1995.6,83.8,22
2025-09-11T12:52:29.274880Z,FATAL,product-service,staging,Processing request 5000,1632.5,200,user_774,req_340794,1566.1,52.6,21
2025-09-12T17:26:04.457903Z,WARN,product-service,development,Processing request 8651,778.5,503,user_94,req_967256,1939.0,83.9,32
2025-08-25T05:26:33.822037Z,INFO,payment-service,production,Processing request 3749,1323.3,400,user_166,req_676346,740.2,93.5,31
2025-07-13T18:00:46.990024Z,ERROR,auth-service,development,Processing request 9695,504.7,404,user_390,req_384126,1395.0,59.7,30
2025-07-06T18:04:54.778590Z,DEBUG,payment-service,production,Processing request 3805,1507.0,503,user_324,req_595693,797.1,67.8,31
2025-07-28T12:03:16.823852Z,DEBUG,notification-service,staging,Processing request 3120,567.7,404,user_947,req_667838,516.3,94.0,35
2025-08-03T10:20:08.763818Z,INFO,payment-service,production,Processing request 8795,1079.0,500,user_414,req_602736,375.1,23.8,16
2025-08-14T12:47:32.421952Z,INFO,product-service,development,Processing request 1346,1784.2,500,user_994,req_825701,1730.9,79.2,24
2025-07-10T23:24:36.019451Z,INFO,notification-service,development,Processing request 4216,1729.8,401,user_560,req_506234,604.2,61.0,34
2025-08-28T10:20:32.664597Z,FATAL,product-service,development,Processing request 7625,1638.6,500,user_964,req_563796,645.8,58.4,15
2025-09-15T16:08:46.871081Z,WARN,notification-service,staging,Processing request 5158,542.9,403,user_259,req_892857,108.1,20.4,29
