timestamp,user_id,session_id,page,referrer,user_agent,country,device_type,page_load_time,bounce_rate,conversion,revenue,ip_address
2025-09-15T11:52:11.887690Z,user_5506,session_356787,/contact,facebook.com,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,India,Tablet,3.83,True,False,55.91,60.130.155.7
2025-09-05T15:36:05.887690Z,user_9928,session_539898,/contact,linkedin.com,Mozilla/5.0 (iPad; CPU OS 14_7_1 like Mac OS X),France,Desktop,3.91,True,False,0.0,40.56.246.196
2025-08-08T11:55:48.887690Z,user_2584,session_476417,/pricing,direct,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,United States,Tablet,2.57,True,False,0.0,142.76.213.161
2025-09-13T20:26:36.887690Z,user_2139,session_148050,/contact,ads.google.com,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,India,Desktop,4.4,False,False,0.0,94.42.95.91
2025-07-23T06:08:08.887690Z,user_2169,session_738720,/about,direct,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0,Germany,Desktop,2.58,False,False,0.0,143.57.176.84
2025-07-03T16:42:26.887690Z,user_6168,session_520651,/blog,google.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Canada,Desktop,3.45,False,False,0.0,37.68.36.64
2025-09-06T02:07:11.887690Z,user_8019,session_711878,/login,twitter.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,United Kingdom,Tablet,2.72,True,False,0.0,41.203.175.109
2025-09-10T11:14:48.887690Z,user_8668,session_654816,/blog,direct,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,India,Tablet,4.48,False,False,0.0,76.112.41.117
2025-06-27T08:47:10.887690Z,user_5315,session_624902,/about,direct,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,France,Tablet,2.78,True,False,0.0,139.245.200.237
2025-09-01T09:28:44.887690Z,user_9005,session_120422,/products,twitter.com,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Germany,Desktop,1.58,True,False,0.0,251.195.137.197
