timestamp,transaction_id,account_id,transaction_type,amount,currency,merchant,merchant_category,card_type,is_fraud,processing_fee,country_code,risk_score
2025-07-27T09:01:24.887690Z,TXN_438037,ACC_21634,Withdrawal,4674.1,EUR,Merchant_361,Gas Station,Prepaid,False,116.85,UK,51.7
2025-08-29T10:08:24.887690Z,TXN_944169,ACC_53640,Payment,230.9,AUD,Merchant_244,Gas Station,Debit,False,5.77,AU,88.8
2025-09-11T15:43:24.887690Z,TXN_867514,ACC_73331,Purchase,3019.61,USD,Merchant_62,ATM,Debit,False,75.49,US,93.3
2025-07-15T14:32:24.887690Z,TXN_943834,ACC_82765,Purchase,1393.28,USD,Merchant_49,Gas Station,Debit,False,34.83,AU,1.6
2025-07-08T22:13:24.887690Z,TXN_108880,ACC_42921,Payment,4356.26,CAD,Merchant_464,Gas Station,Prepaid,False,108.91,JP,69.7
2025-07-16T00:24:24.887690Z,TXN_755187,ACC_67090,Transfer,4460.15,INR,Merchant_302,Online Shopping,Prepaid,False,111.5,US,85.7
2025-07-03T22:05:24.887690Z,TXN_189450,ACC_56229,Transfer,1440.11,INR,Merchant_428,Restaurant,Prepaid,False,36.0,US,52.8
2025-07-03T12:52:24.887690Z,TXN_756686,ACC_92686,Payment,1413.27,EUR,Merchant_25,Travel,Prepaid,False,35.33,DE,44.7
2025-07-16T19:17:24.887690Z,TXN_741190,ACC_92244,Deposit,1823.85,JPY,Merchant_321,Entertainment,Debit,False,45.6,DE,22.0
2025-08-15T22:05:24.887690Z,TXN_539870,ACC_53062,Payment,234.73,GBP,Merchant_252,Online Shopping,Credit,False,5.87,UK,39.5
2025-08-07T13:50:24.887690Z,TXN_963920,ACC_57157,Deposit,4858.71,CAD,Merchant_5,Restaurant,Prepaid,False,121.47,AU,25.0
2025-09-20T09:58:24.887690Z,TXN_636796,ACC_21636,Refund,523.22,GBP,Merchant_303,Restaurant,Prepaid,False,13.08,UK,50.0
2025-08-15T23:51:24.887690Z,TXN_756350,ACC_49410,Refund,1173.64,INR,Merchant_306,Gas Station,Prepaid,False,29.34,UK,39.6
2025-08-06T00:55:24.887690Z,TXN_280174,ACC_60866,Payment,4071.0,USD,Merchant_188,Grocery,Credit,False,101.78,DE,12.2
2025-07-26T09:05:24.887690Z,TXN_415192,ACC_63149,Withdrawal,3870.44,USD,Merchant_43,Entertainment,Prepaid,False,96.76,US,70.1
2025-07-05T06:55:24.887690Z,TXN_583337,ACC_69555,Payment,3790.48,GBP,Merchant_198,Grocery,Prepaid,False,94.76,CA,75.2
2025-09-15T11:26:24.887690Z,TXN_544477,ACC_12692,Payment,3706.85,JPY,Merchant_28,ATM,Prepaid,False,92.67,IN,43.6
2025-08-17T14:23:24.887690Z,TXN_773692,ACC_43193,Purchase,2745.77,GBP,Merchant_307,Restaurant,Debit,False,68.64,CA,22.6
2025-07-28T04:53:24.887690Z,TXN_497094,ACC_59267,Payment,4807.13,CAD,Merchant_245,Entertainment,Prepaid,False,120.18,IN,39.1
2025-07-01T08:44:24.887690Z,TXN_812777,ACC_36028,Withdrawal,2971.53,JPY,Merchant_198,Gas Station,Credit,False,74.29,CA,13.5
2025-08-15T23:02:24.887690Z,TXN_166937,ACC_40101,Withdrawal,1472.06,GBP,Merchant_105,Restaurant,Debit,False,36.8,UK,33.2
2025-09-10T10:38:24.887690Z,TXN_879966,ACC_93319,Refund,2908.37,EUR,Merchant_369,ATM,Debit,False,72.71,UK,69.3
2025-07-13T04:53:24.887690Z,TXN_926770,ACC_50871,Refund,1079.81,AUD,Merchant_181,Travel,Credit,False,27.0,UK,29.6
2025-07-22T02:02:24.887690Z,TXN_172773,ACC_30388,Withdrawal,3118.53,AUD,Merchant_267,Entertainment,Debit,False,77.96,JP,34.5
2025-08-05T15:36:24.887690Z,TXN_686508,ACC_66227,Deposit,2487.15,AUD,Merchant_480,Online Shopping,Credit,False,62.18,JP,60.4
2025-08-10T14:50:24.887690Z,TXN_854656,ACC_62177,Refund,3345.95,INR,Merchant_316,Entertainment,Debit,False,83.65,JP,47.8
2025-07-07T22:12:24.887690Z,TXN_479859,ACC_55819,Refund,1562.54,GBP,Merchant_486,Online Shopping,Prepaid,False,39.06,US,41.4
2025-08-25T02:35:24.887690Z,TXN_729551,ACC_95623,Withdrawal,4616.94,AUD,Merchant_475,ATM,Debit,False,115.42,AU,29.2
2025-09-19T07:53:24.887690Z,TXN_153096,ACC_70492,Withdrawal,945.25,AUD,Merchant_419,Gas Station,Credit,False,23.63,JP,8.0
2025-07-19T14:39:24.887690Z,TXN_173204,ACC_24426,Refund,2917.23,EUR,Merchant_110,Entertainment,Credit,False,72.93,FR,67.4
2025-09-12T07:07:24.887690Z,TXN_585592,ACC_57896,Payment,4545.13,GBP,Merchant_460,Gas Station,Prepaid,False,113.63,CA,1.8
2025-09-02T04:50:24.887690Z,TXN_991523,ACC_61446,Transfer,866.78,INR,Merchant_474,Grocery,Debit,False,21.67,DE,85.5
